State,Clinton,Trump
Alabama,34.33,62.18
Alaska,36.53,51.28
Arizona,45.46,49.03
Arkansas,33.65,60.57
California,61.74,31.84
Colorado,48.16,43.25
Connecticut,54.57,40.94
Delaware,53.35,41.92
D. C.,90.86,4.09
Florida,47.45,48.64
Georgia,45.89,51.05
Hawaii,62.22,30.04
Idaho,27.48,59.25
Illinois,55.49,38.52
Indiana,37.92,56.83
Iowa,41.74,51.15
Kansas,36.16,57.19
Kentucky,32.68,62.52
Louisiana,38.45,58.09
Maine,47.85,45.15
Maryland,60.11,34.15
Massachusetts,60.80,33.52
Michigan,47.27,47.50
Minnesota,46.44,44.92
Mississippi,40.06,57.86
Missouri,37.99,57.11
Montana,35.94,56.47
Nebraska,34.32,59.94
Nevada,47.92,45.50
New Hampshire,46.83,46.47
New Jersey,54.96,41.02
New Mexico,48.26,40.04
New York,58.34,37.11
North Carolina,46.17,49.83
North Dakota,27.23,62.96
Ohio,43.25,51.30
Oklahoma,28.93,65.32
Oregon,49.76,38.28
Pennsylvania,47.32,48.37
Rhode Island,54.40,38.90
South Carolina,40.67,54.94
South Dakota,31.74,61.53
Tennessee,34.90,61.07
Texas,43.30,52.43
Utah,27.46,45.54
Vermont,56.68,30.27
Virginia,49.75,44.43
Washington,52.90,37.07
West Virginia,26.18,67.86
Wisconsin,46.45,47.26
Wyoming,21.88,68.17
